FIPS,State,County,Weighted_Mean_Score,F1_hardship,F2_geo_inacc,F3_urban_access,F4_alt_outlets,F5_retail_env
26131,Michigan,Ontonagon County,0.761103851,0.260361631,0.68445271,1.572294776,-0.117215371,1.40562551
48235,Texas,Irion County,0.76071647,-1.205744572,3.437540656,1.357588421,-0.879608449,1.093806293
19071,Iowa,Fremont County,0.759863269,-0.422943886,2.573197831,1.392944344,-0.889522352,1.145640409
1063,Alabama,Greene County,0.75916598,2.658498854,0.901755067,0.645705948,-0.505220036,0.095090068
2013,Alaska,Aleutians East Borough,0.755588743,-0.674332713,1.08181026,0.938481735,-0.77807677,3.210061201
35053,New Mexico,Socorro County,0.754528305,1.530383798,1.609015389,-1.210002525,1.986657877,-0.143413016
27029,Minnesota,Clearwater County,0.748304157,-0.004462395,1.68235874,1.096036806,-0.084028082,1.051615716
20077,Kansas,Harper County,0.744461859,-0.331372578,1.01475647,1.427034661,-0.086245037,1.698135777
13125,Georgia,Glascock County,0.744265114,0.784255849,2.401422117,0.96333083,-0.887577302,0.459894078
53069,Washington,Wahkiakum County,0.743254103,0.56421833,-0.031765939,1.349750789,0.700979693,1.133087641
20073,Kansas,Greenwood County,0.741701712,-0.147521303,2.456179514,0.836241725,-0.073440482,0.637049106
55003,Wisconsin,Ashland County,0.741634915,0.183582005,0.759590855,-0.136237034,1.949025096,0.952213653
48345,Texas,Motley County,0.741534273,-0.102470965,-0.218082359,2.043956665,-0.887962704,2.872230726
53019,Washington,Ferry County,0.739579287,1.075077371,1.532454219,1.047523748,-0.881745252,0.924586348
32017,Nevada,Lincoln County,0.738621221,-0.608983932,1.497558054,1.199171314,-0.063984094,1.669344765
29035,Missouri,Carter County,0.736044699,1.047810326,1.646102474,0.985166295,-0.877236739,0.878381139
31161,Nebraska,Sheridan County,0.73107884,-0.314747924,0.552318516,1.222950764,-0.809998673,3.004871517
20017,Kansas,Chase County,0.73038561,-0.822407642,3.371405871,1.399414387,-0.900013056,0.603528492
48269,Texas,King County,0.728938972,-1.629527369,3.325469603,1.213870791,-0.842264662,1.577146499
18047,Indiana,Franklin County,0.728660834,-0.610126559,1.004389385,0.347206672,2.67521551,0.226619162
37041,North Carolina,Chowan County,0.727870729,0.741542652,0.478770764,0.184655592,1.896622788,0.337761847
46009,South Dakota,Bon Homme County,0.72599316,-0.938012634,2.559360385,1.455346319,-0.875148436,1.428420165
17003,Illinois,Alexander County,0.72110449,3.512528441,-0.043020034,0.124467713,-0.830958467,0.842504799
28055,Mississippi,Issaquena County,0.719545284,2.512890786,0.40447518,0.768294605,-0.876103764,0.788169613
47061,Tennessee,Grundy County,0.718882562,1.757609669,0.064335244,0.500755993,1.046235904,0.225475999
13003,Georgia,Atkinson County,0.718099261,1.713156434,2.14399808,0.430297897,-0.859295848,0.162339743
40011,Oklahoma,Blaine County,0.716666846,0.390571803,2.600222425,0.507923586,-0.825732477,0.910348895
26003,Michigan,Alger County,0.713848281,-0.250343288,-0.315027785,1.036738144,1.867181588,1.230692746
28027,Mississippi,Coahoma County,0.713281287,2.578778603,1.457332006,-0.766737323,0.186610631,0.110422516
23029,Maine,Washington County,0.712994964,0.822497616,-0.163788227,0.831806834,0.933501295,1.140957302
27011,Minnesota,Big Stone County,0.712766076,-0.845274411,1.686356336,1.747261028,-0.88474808,1.860235507
53043,Washington,Lincoln County,0.712108905,-0.260607411,1.202961936,1.059473429,0.728726371,0.829990201
26063,Michigan,Huron County,0.711464925,-0.297901786,1.028650569,0.700632497,1.863992081,0.261951266
46091,South Dakota,Marshall County,0.711218651,-0.950425859,1.381963966,1.332549353,-0.061735027,1.853740824
38065,North Dakota,Oliver County,0.711191553,-1.441172476,2.681159718,1.423808517,-0.854216379,1.746378383
35047,New Mexico,San Miguel County,0.710365146,2.053833263,2.527344869,-1.341716068,0.79493046,-0.482566793
31017,Nebraska,Brown County,0.706123467,-0.580855877,-0.469498754,1.966524736,-0.851456754,3.465903986
5107,Arkansas,Phillips County,0.702912219,2.427137006,2.232988315,-0.264283954,-0.814018734,-0.067261537
